#  R    En    Tr      X1     Y1     X2     Y2     X3     Y3     X4     Y4     X5     Y5     X6     Y6     X7     Y7     X8     Y8     X9     Y9     X10     Y10     X11     Y11     X12     Y12     X13     Y13     X14     Y14     X15     Y15     X16     Y16 
100.0  80.0  0.970   0.12   0.26   1.55  -2.21   1.56   0.52   0.02  -2.02   0.33   2.62  -0.48  -1.72   0.67   0.34  -0.18  -0.97   0.31  -0.90  -0.31   0.96  -0.06   2.47   0.23  -1.31   0.48   1.04  -0.03  -0.10  -0.17   0.12   0.34  -2.68
100.0  88.0  0.630  -0.03  -0.46  -0.14  -0.92   0.73  -0.38   0.19  -0.33   0.81   0.91  -0.72   0.22   0.31  -0.28   0.07   0.38  -0.04  -0.49  -0.93   0.93  -0.45   0.25   0.30  -0.52   0.55  -0.22   0.18   0.24   0.42   0.42   0.34   0.98
100.0  96.0  0.638  -0.18  -0.39   0.06  -0.70   0.43  -0.13  -0.08  -0.11   0.13   0.82  -0.35   0.36  -0.02   0.02  -0.11   0.37  -0.05  -0.07  -0.87   1.08  -0.31   0.10   0.09  -0.44   0.19   0.10   0.11  -0.05   0.43   0.39  -0.07   0.60
100.0 104.0  0.745  -0.17  -0.25   0.31  -0.95   0.42   0.31  -0.01  -0.43  -0.40   0.91  -0.21   0.67  -0.13   0.27  -0.02  -0.03  -0.23  -0.27  -0.88   1.98  -0.35   0.06  -0.03  -0.25   0.12   0.40   0.21  -0.20   0.54   0.06  -0.36   0.20
100.0 112.0  0.965  -0.14   0.28  -0.19  -1.17   0.37   0.18   0.16  -0.85   0.14   0.76   0.25   1.33   0.02   0.46   0.43  -0.41  -0.34  -1.25  -1.26   3.80  -0.71  -0.06  -0.17   0.26   0.21   0.42   0.35  -0.35   0.64  -0.54  -0.70   0.42
100.0 120.0  0.712  -0.25   0.44  -0.36  -0.78   0.06  -0.33   0.63  -0.91   0.57   0.38   0.45   1.08  -0.32   0.50   0.33  -0.53  -0.09  -1.14  -0.97   2.75  -0.43  -0.10  -0.17   0.53   0.04  -0.02   0.18  -0.35   0.72  -0.57  -0.06   0.75
100.0 128.0  0.562  -0.01   0.75  -0.32  -0.47  -0.30  -0.50   0.93  -0.90   0.60  -0.14   0.71   1.01  -0.81   0.43   0.12  -0.46  -0.04  -0.64  -0.43   1.74  -0.12  -0.14  -0.11   0.49  -0.05   0.01  -0.13  -0.25   0.86  -0.71   0.23   0.77
100.0 136.0  0.962   1.07   1.03  -0.44  -0.39  -1.12  -0.58   1.02  -1.18   0.36  -0.25   1.87   0.53  -1.11   1.39   0.03  -0.43   0.00  -0.41   0.10   1.27  -0.35  -0.55  -0.11   0.30   0.12   0.40  -0.12   0.19   1.03  -1.39   0.44   0.70
100.0 144.0  0.714   0.76  -0.61  -0.17  -0.26  -0.87  -0.32   0.25  -1.07  -0.25   0.43   0.91  -0.50   0.51   1.67   0.15  -0.20   0.29  -0.03  -0.74   0.48  -1.15  -0.54  -0.15   0.02   0.20   0.04   0.98   0.11  -0.31  -0.62   0.28   0.34
100.0 152.0  0.552   0.57  -0.23  -0.02  -0.28  -0.57  -0.47   0.27  -0.71  -0.25  -0.02   0.35  -0.16   0.54   1.09   0.13   0.12   0.24   0.25  -0.90   0.36  -1.08  -0.34  -0.15  -0.22   0.04  -0.01   0.88  -0.14  -0.57  -0.36   0.17   0.21
100.0 160.0  0.759   0.87   0.54   0.19  -0.45  -0.31  -0.72   0.35  -0.54  -0.50  -0.52   0.21   0.10   0.48   1.04   0.16   0.46   0.15   0.45  -1.09   0.21  -1.32  -0.32  -0.16  -0.53  -0.08   0.09   0.71  -0.10  -0.83  -0.44   0.14   0.09
100.0 168.0  1.052   0.91   0.79   0.71  -0.43   0.58  -0.72   0.34  -0.34  -0.95  -0.57   0.18   0.11   0.10   1.27   0.08   0.89  -0.04   0.18  -1.14  -0.21  -1.87  -0.33  -0.15  -0.61  -0.28   0.07  -0.12   0.73  -0.80  -0.65   0.23   0.01
100.0 176.0  0.878  -0.05  -0.57   1.58  -0.84   2.73   0.19   0.26  -0.00  -0.81   0.10   0.17  -0.11  -1.41   0.54   0.02   0.95   0.02  -0.18  -1.25  -0.04  -2.75  -0.33  -0.10  -0.14  -0.74  -0.06  -0.79   1.44  -0.84  -0.39   0.63  -0.27
100.0 184.0  0.316  -0.33  -0.51   0.63  -1.30   2.70   1.03  -0.51  -0.61  -0.43   0.54  -0.01  -0.26  -1.58  -0.75   0.09  -0.09   0.15  -0.44  -0.50   0.26  -0.90  -0.20   0.08  -0.06  -0.21  -0.05  -0.03   0.56  -0.23   0.10   0.57  -0.40
100.0 192.0  0.120  -0.24  -0.54   0.08  -0.53   1.13   0.54  -0.44  -0.45  -0.16   0.47  -0.02  -0.22  -0.62  -0.34  -0.06  -0.00   0.13  -0.26  -0.14   0.06  -0.18  -0.06   0.06  -0.21   0.07  -0.04   0.04   0.31   0.10   0.05   0.26  -0.17
100.0 200.0  0.076  -0.21  -0.57  -0.02  -0.27   0.64   0.34  -0.36  -0.31  -0.05   0.40  -0.01  -0.19  -0.34  -0.20  -0.11   0.12   0.12  -0.12  -0.08   0.00  -0.08  -0.02   0.03  -0.29   0.11  -0.02   0.04   0.25   0.13   0.03   0.15  -0.12
116.0   0.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
116.0   8.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
116.0  16.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
116.0  24.0  0.620   0.12   0.36  -0.12   0.08  -0.54   0.05  -0.68  -0.24   0.05  -0.40  -0.46   0.18  -0.05   0.32   0.02   1.13  -2.00  -1.59   0.05   0.18  -0.45   0.15  -0.88  -0.26  -1.02  -0.79   0.43   0.95   1.05   1.75   0.09   1.74
116.0  32.0  0.468  -0.28  -0.09  -0.64  -0.47  -0.12   0.55  -1.88   0.65   0.27  -0.02  -0.99  -2.12   0.63   0.10  -1.60   1.50   1.01   0.79  -0.01  -0.60  -0.41  -0.32  -0.11  -0.24   0.87  -0.29   0.32  -0.28   0.72   0.31   1.42   0.66
116.0  40.0  0.409  -0.20  -0.31  -1.19  -1.42   0.14   0.67  -0.78   0.83  -0.02   0.41  -2.01  -2.76   0.22  -0.44  -0.63   0.09  -0.08  -1.86   0.22   0.09   0.41   0.14  -0.33  -0.21   0.11  -2.31  -0.57  -0.10  -0.18  -0.20   0.26  -0.62
116.0  48.0  0.408  -0.38  -0.21  -0.90  -0.95   0.01   0.41   0.15   0.45   0.09   0.33  -1.33  -1.12   0.10  -0.40   0.21  -0.32  -0.25  -2.09   0.57   0.37   0.62   0.27  -0.48  -0.07   0.08  -2.88  -0.59  -0.28  -0.15   0.14  -0.21  -0.80
116.0  56.0  0.264  -0.31  -0.11  -0.60  -0.62  -0.23   0.22   0.37   0.12   0.46   0.34  -0.57  -0.13   0.23  -0.24   0.55  -0.74   0.01  -0.79   0.63   0.27   0.39  -0.02  -0.50   0.22   0.02  -1.59  -0.42  -0.49   0.04   0.13  -0.15  -0.82
116.0  64.0  0.293  -0.18   0.02  -0.53  -1.17  -0.29   0.10   0.29  -0.91   0.70   0.78  -0.13   0.00   0.60  -0.11   0.78  -1.97   0.13  -0.20   0.75   0.51  -0.04  -0.14  -0.40   1.11  -0.18  -0.79  -0.49  -0.59   0.14  -0.20   0.10  -0.70
116.0  72.0  0.872  -0.17   0.03   0.49  -2.15   0.69   0.17  -0.46  -2.59  -0.21   1.43  -0.29  -1.12   0.85   0.30  -0.65  -1.60   0.47  -0.00   0.21   1.17  -0.25   1.49   0.21  -0.37   0.34   0.50  -0.45  -0.35  -0.17  -0.53   0.07  -1.71
116.0  80.0  0.908   0.15  -0.16  -0.71  -2.03   0.60   0.34   0.75  -1.38   1.09   0.83  -1.39  -0.39   0.97  -0.25   0.11  -0.56   0.00  -0.48  -0.18   1.10  -0.35   0.43   0.46  -1.01   1.57   0.19   0.24   0.34   0.19  -0.15   0.90  -0.78
116.0  88.0  0.649  -0.17  -0.41  -0.58  -1.05   0.36  -0.40   0.11  -0.10   0.89   0.72  -0.59   0.40   0.17  -0.36   0.06   0.35  -0.12  -0.18  -0.64   0.86  -0.45  -0.18   0.20  -0.31   0.51  -0.22   0.05   0.15   0.40   0.39   0.34   1.06
116.0  96.0  0.712  -0.26  -0.47  -0.01  -1.00   0.38  -0.27  -0.02  -0.10   0.21   0.78  -0.25   0.56  -0.19  -0.01  -0.08   0.32  -0.16  -0.06  -0.70   1.28  -0.32  -0.08   0.04  -0.36   0.23   0.07   0.12  -0.13   0.57   0.32  -0.07   0.66
116.0 104.0  0.818  -0.10  -0.27   0.54  -1.15   0.69   0.22   0.02  -0.55  -0.41   0.41  -0.11   0.79  -0.24   0.47   0.08  -0.11  -0.55  -0.29  -0.50   2.25  -0.31  -0.09  -0.09  -0.16   0.38   0.43   0.39  -0.23   0.58  -0.22  -0.48   0.16
116.0 112.0  1.048  -0.09   0.34  -0.12  -0.80   0.51   0.05   0.18  -0.70   0.34   0.30   0.40   1.24  -0.00   0.52   0.44  -0.32  -0.65  -0.92  -0.60   3.18  -0.60  -0.02  -0.22   0.28   0.58   0.35   0.50  -0.33   0.59  -0.56  -0.58   0.56
116.0 120.0  0.749  -0.21   0.70  -0.37  -0.57  -0.04  -0.41   0.74  -0.77   0.74  -0.00   0.70   1.06  -0.44   0.55   0.33  -0.52  -0.34  -0.91  -0.54   2.46  -0.38  -0.06  -0.25   0.62   0.30   0.01   0.28  -0.41   0.72  -0.65   0.08   0.88
116.0 128.0  0.735   0.40   1.51  -0.53  -0.45  -0.86  -0.48   1.06  -1.03   0.79  -0.59   1.54   0.88  -1.01   0.89   0.14  -0.60  -0.16  -0.66  -0.18   1.83  -0.21  -0.33  -0.20   0.67   0.11   0.24   0.09  -0.27   0.83  -0.96   0.37   0.93
116.0 136.0  0.987   1.18   0.51  -0.53  -0.43  -1.42  -0.22   0.43  -1.40   0.05   0.13   2.17  -0.46  -0.00   2.17   0.29  -0.48   0.31  -0.40  -0.51   1.02  -1.00  -0.75  -0.12   0.38   0.24   0.49   0.93   0.19  -0.12  -0.73   0.40   0.70
116.0 144.0  0.652   0.62  -0.36  -0.13  -0.29  -0.74  -0.39   0.29  -0.93  -0.16   0.19   0.84  -0.34   0.50   1.45   0.26  -0.11   0.31   0.08  -0.86   0.50  -1.07  -0.38  -0.11   0.06   0.13   0.15   0.98  -0.07  -0.54  -0.23   0.27   0.46
116.0 152.0  0.710   0.77   0.14   0.08  -0.36  -0.49  -0.66   0.39  -0.66  -0.35  -0.32   0.40  -0.03   0.50   1.17   0.23   0.23   0.23   0.39  -1.03   0.34  -1.17  -0.20  -0.12  -0.25  -0.01   0.15   0.79  -0.23  -0.73  -0.16   0.19   0.30
116.0 160.0  1.016   1.06   1.02   0.44  -0.51   0.03  -0.88   0.46  -0.46  -0.95  -0.80   0.16   0.14   0.40   1.29   0.13   0.68   0.06   0.32  -1.16   0.05  -1.52  -0.03  -0.13  -0.50  -0.23   0.17   0.07   0.13  -0.77  -0.22   0.16   0.12
116.0 168.0  0.892   0.23   0.31   1.01  -0.47   1.07  -0.46   0.43  -0.08  -1.03  -0.36   0.12  -0.05  -0.37   1.23  -0.12   0.99  -0.04  -0.22  -1.00  -0.25  -2.01  -0.11  -0.11  -0.27  -0.54  -0.02  -1.10   1.25  -0.42  -0.31   0.28  -0.05
116.0 176.0  0.684  -0.42  -0.51   1.58  -1.72   4.10   1.23  -0.18  -0.49  -0.91   0.28   0.06  -0.19  -2.65  -0.35   0.08   0.30   0.25  -0.43  -1.15   0.07  -2.30  -0.64   0.04   0.05  -0.70  -0.09  -0.80   1.54  -0.50  -0.05   0.85  -0.60
116.0 184.0  0.209  -0.22  -0.46   0.28  -0.78   1.79   0.81  -0.48  -0.64  -0.43   0.50  -0.02  -0.24  -1.11  -0.43  -0.06  -0.12   0.21  -0.36  -0.29   0.10  -0.40  -0.18   0.08  -0.11   0.04  -0.07   0.00   0.45   0.09   0.05   0.42  -0.22
116.0 192.0  0.107  -0.21  -0.53   0.03  -0.36   0.89   0.45  -0.40  -0.43  -0.21   0.44  -0.01  -0.22  -0.53  -0.21  -0.13   0.04   0.17  -0.21  -0.13   0.04  -0.14  -0.05   0.05  -0.23   0.13  -0.04   0.04   0.27   0.16   0.03   0.23  -0.12
116.0 200.0  0.074  -0.21  -0.57  -0.03  -0.21   0.56   0.30  -0.35  -0.29  -0.10   0.39  -0.01  -0.19  -0.32  -0.14  -0.16   0.16   0.15  -0.09  -0.10   0.00  -0.09  -0.01   0.03  -0.32   0.14  -0.00   0.05   0.22   0.16   0.03   0.15  -0.11
132.0   0.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
132.0   8.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
132.0  16.0  0.563   0.09   0.02  -0.25  -0.15  -0.43  -0.02  -0.70   0.52  -0.02  -0.58  -0.84  -0.13   0.13  -0.62  -0.17   1.34  -2.44  -0.20  -0.12   0.50  -0.19   0.16  -1.01  -1.47  -1.47   1.07   0.09   1.04  -0.18   1.00  -1.00   0.62
132.0  24.0  0.957  -0.08   0.30  -0.35   0.21  -0.13   0.44  -0.53   0.28   0.32  -0.59  -0.86  -0.13   0.20   0.34   0.15   2.02  -0.79  -0.98  -0.06   0.21  -0.29   0.11  -0.77   0.24  -0.43  -0.43   0.33   0.74   1.23   1.88   0.12   2.15
132.0  32.0  0.384  -0.18  -0.28  -0.86  -1.04   0.07   0.30  -1.28   0.28   0.12   0.31  -1.62  -2.22   0.37  -0.31  -1.51   0.35   0.31  -0.55  -0.04  -0.29   0.19  -0.24  -0.22  -0.19   0.13  -0.75  -0.22  -0.18   0.39  -0.21   0.87  -0.04
132.0  40.0  0.401  -0.21  -0.25  -0.95  -1.25   0.01   0.42  -0.35   0.46  -0.26   0.37  -1.64  -1.96   0.03  -0.48  -0.30  -0.24  -0.75  -2.52   0.45   0.37   0.66   0.24  -0.44  -0.15  -0.34  -2.86  -0.71  -0.10  -0.13  -0.02  -0.00  -0.62
132.0  48.0  0.336  -0.43  -0.12  -0.80  -0.75  -0.19   0.31   0.34   0.36   0.03   0.21  -1.06  -0.75   0.08  -0.44   0.38  -0.34  -0.37  -1.90   0.82   0.47   0.77   0.19  -0.53  -0.15  -0.13  -2.85  -0.69  -0.55  -0.05   0.20  -0.14  -0.79
132.0  56.0  0.200  -0.29  -0.05  -0.80  -0.69  -0.47   0.16   0.74  -0.02   0.69   0.19  -0.58   0.03   0.36  -0.37   0.92  -0.97  -0.05  -0.58   1.02   0.44   0.50  -0.18  -0.51   0.13  -0.15  -1.57  -0.48  -0.91   0.17   0.02   0.05  -0.98
132.0  64.0  0.558   0.05  -0.03  -0.71  -1.94   0.00   0.03   0.77  -2.17   0.76   1.04  -0.56  -0.04   1.10  -0.19   0.72  -2.27   0.17  -0.36   0.95   1.34  -0.14   0.53   0.05   0.14  -0.02  -0.33  -0.37  -0.90   0.19  -0.68   0.29  -1.46
132.0  72.0  0.930  -0.00  -0.26  -0.49  -1.99   0.39   0.48   0.62  -2.24  -0.15   0.32  -1.12  -0.47   1.08   0.06  -0.24  -1.14   0.16  -0.15   0.22   1.04  -0.19   0.53   0.55  -1.33   1.73   0.28   0.16   0.03   0.16  -0.60   0.63  -1.93
132.0  80.0  0.689  -0.06  -0.28  -1.24  -1.17   0.10   0.07   0.51  -0.59   1.01   0.07  -0.85   0.28   0.56  -0.53   0.24  -0.28  -0.29  -0.07  -0.23   0.55  -0.49  -0.54   0.31  -0.16   1.24  -0.23   0.04   0.41   0.32   0.04   0.73   0.49
132.0  88.0  0.644  -0.31  -0.42  -0.78  -1.02   0.15  -0.37   0.11   0.04   0.97   0.52  -0.34   0.57  -0.03  -0.49   0.07   0.29  -0.25   0.02  -0.47   0.81  -0.40  -0.34   0.11  -0.20   0.53  -0.20  -0.07   0.06   0.48   0.36   0.22   0.96
132.0  96.0  0.768  -0.34  -0.59   0.01  -1.24   0.32  -0.36   0.07  -0.12   0.23   0.54  -0.04   0.72  -0.45   0.01  -0.04   0.25  -0.36  -0.04  -0.43   1.48  -0.25  -0.25  -0.01  -0.29   0.37   0.06   0.18  -0.24   0.73   0.17  -0.16   0.63
132.0 104.0  0.988   0.16  -0.06   0.55  -0.78   0.88   0.20   0.01  -0.60  -0.20  -0.24   0.01   0.91  -0.06   0.67   0.22  -0.14  -0.97  -0.22   0.16   2.11  -0.22  -0.14  -0.14  -0.00   0.76   0.49   0.62  -0.17   0.40  -0.51  -0.66   0.19
132.0 112.0  1.071  -0.04   0.52  -0.23  -0.44   0.40  -0.11   0.31  -0.54   0.55  -0.13   0.59   1.13  -0.06   0.55   0.43  -0.29  -0.92  -0.64  -0.05   2.49  -0.50   0.08  -0.31   0.38   0.90   0.29   0.63  -0.29   0.56  -0.64  -0.37   0.72
132.0 120.0  0.794   0.00   1.25  -0.58  -0.44  -0.58  -0.42   0.92  -0.74   0.90  -0.57   1.30   0.84  -0.65   0.75   0.29  -0.58  -0.54  -0.71  -0.17   2.09  -0.36  -0.05  -0.36   0.82   0.58   0.08   0.46  -0.43   0.70  -0.77   0.31   1.02
132.0 128.0  1.012   1.12   1.95  -0.87  -0.59  -1.61  -0.06   0.65  -1.35   0.55  -0.71   2.67  -0.16  -0.52   1.84   0.31  -0.61   0.02  -0.69  -0.25   1.62  -0.57  -0.58  -0.16   0.75   0.34   0.49   0.75  -0.11   0.16  -0.71   0.42   1.01
132.0 136.0  0.829   0.83   0.15  -0.36  -0.39  -0.94  -0.18   0.28  -1.08  -0.03   0.16   1.65  -0.52   0.38   1.80   0.40  -0.28   0.35  -0.20  -0.75   0.81  -0.96  -0.47  -0.03   0.36   0.23   0.36   1.03  -0.03  -0.50  -0.13   0.35   0.74
132.0 144.0  0.729   0.70  -0.09  -0.02  -0.30  -0.56  -0.50   0.41  -0.74  -0.20  -0.09   0.80  -0.15   0.46   1.34   0.31   0.03   0.30   0.24  -0.97   0.51  -1.06  -0.20  -0.07   0.06   0.07   0.25   0.87  -0.26  -0.66   0.02   0.28   0.55
132.0 152.0  0.967   1.06   0.68   0.28  -0.45  -0.22  -0.77   0.56  -0.50  -0.80  -0.71   0.32   0.12   0.47   1.26   0.17   0.45   0.19   0.42  -1.19   0.32  -1.31   0.09  -0.11  -0.25  -0.17   0.27   0.34  -0.26  -0.75   0.09   0.20   0.33
132.0 160.0  0.958   0.63   0.90   0.64  -0.49   0.39  -0.61   0.53  -0.20  -1.35  -0.67   0.04   0.00   0.10   1.32  -0.16   0.81   0.00  -0.16  -0.98  -0.08  -1.52   0.16  -0.09  -0.20  -0.44   0.08  -0.97   0.69  -0.30  -0.04   0.17   0.12
132.0 168.0  0.891  -0.31  -0.10   1.65  -1.14   2.73   0.36   0.41  -0.09  -1.18  -0.19   0.10  -0.10  -1.90   0.91  -0.15   0.92   0.09  -0.45  -1.20  -0.39  -2.52  -0.64  -0.03   0.04  -0.86  -0.06  -1.72   2.12  -0.30  -0.16   0.51  -0.36
132.0 176.0  0.398  -0.16  -0.41   0.67  -1.10   2.74   1.11  -0.44  -0.82  -0.81   0.48  -0.02  -0.23  -1.88  -0.38  -0.10  -0.23   0.33  -0.46  -0.56   0.05  -0.84  -0.44   0.10   0.05  -0.05  -0.10  -0.18   0.86   0.09   0.05   0.65  -0.32
132.0 184.0  0.163  -0.16  -0.46   0.10  -0.46   1.18   0.57  -0.40  -0.58  -0.44   0.46  -0.01  -0.23  -0.78  -0.20  -0.17  -0.09   0.24  -0.29  -0.21   0.07  -0.22  -0.10   0.06  -0.12   0.16  -0.06   0.06   0.33   0.21   0.04   0.34  -0.11
132.0 192.0  0.099  -0.19  -0.52  -0.01  -0.25   0.69   0.36  -0.35  -0.40  -0.26   0.41  -0.01  -0.21  -0.45  -0.11  -0.19   0.08   0.20  -0.16  -0.14   0.04  -0.12  -0.02   0.04  -0.24   0.18  -0.01   0.06   0.23   0.20   0.03   0.21  -0.08
132.0 200.0  0.073  -0.21  -0.56  -0.05  -0.16   0.47   0.24  -0.33  -0.27  -0.14   0.37  -0.01  -0.19  -0.31  -0.09  -0.19   0.20   0.18  -0.05  -0.11   0.01  -0.09   0.01   0.02  -0.34   0.17   0.03   0.06   0.19   0.17   0.03   0.14  -0.10
148.0   0.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
148.0   8.0  0.000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
148.0  16.0  0.633   0.09   0.10  -0.15   0.04  -0.11   0.18   0.04   0.64   0.17  -0.56  -0.64   0.23  -0.01  -0.25   0.83   1.04  -1.29  -0.61  -0.10   0.48  -0.07   0.22  -0.68  -0.49  -0.88   0.41  -0.07   0.73  -0.07   1.02  -1.04   0.55
148.0  24.0  0.860  -0.34   0.02  -0.90  -0.55   0.28   0.15  -0.82  -0.53   0.37   0.08  -1.92  -1.11   0.44  -0.04  -1.53   0.53   0.25  -1.03  -0.22  -0.05   0.30  -0.43  -0.36   0.61  -0.22  -0.38  -0.01   0.13   1.29   0.26   0.99   1.25
148.0  32.0  0.362  -0.07  -0.34  -0.67  -1.19  -0.08   0.14  -0.74   0.07  -0.12   0.35  -1.37  -1.88   0.11  -0.41  -1.08  -0.30  -0.77  -1.52   0.15   0.06   0.50  -0.05  -0.29  -0.13  -0.60  -1.35  -0.50  -0.02   0.14  -0.18   0.46  -0.27
148.0  40.0  0.398  -0.28  -0.18  -0.76  -0.98  -0.13   0.34  -0.00   0.43  -0.38   0.28  -1.24  -1.43  -0.04  -0.49  -0.08  -0.22  -1.11  -2.60   0.74   0.57   0.90   0.30  -0.47  -0.20  -0.66  -3.16  -0.85  -0.30  -0.12   0.18  -0.00  -0.55
148.0  48.0  0.221  -0.46  -0.04  -0.82  -0.52  -0.44   0.22   0.57   0.45   0.16  -0.08  -0.88  -0.40   0.15  -0.52   0.56  -0.36  -0.41  -1.44   1.21   0.48   0.94  -0.09  -0.48  -0.40  -0.24  -2.80  -0.67  -1.05   0.08   0.23   0.15  -0.93
148.0  56.0  0.171   0.09  -0.03  -1.27  -0.90  -0.76   0.05   1.02  -0.25   1.42  -0.01  -0.67   0.37   0.72  -0.59   1.56  -1.68  -0.34  -0.34   1.39   0.56   0.34  -0.78  -0.26   0.23  -0.31  -1.16  -0.12  -1.27   0.53  -0.22   0.50  -1.18
148.0  64.0  0.768   0.20  -0.31  -0.98  -2.17   0.13   0.21   0.88  -2.54  -0.05   0.63  -0.98  -0.02   1.33  -0.22   0.74  -2.29  -0.14  -1.11   0.72   1.08  -0.11   0.07   0.66  -0.53   1.19  -0.40   0.34  -0.22   0.49  -0.73   0.60  -1.88
148.0  72.0  0.699  -0.03  -0.29  -1.19  -1.10   0.01   0.33   0.76  -1.21   0.15  -0.47  -0.91   0.14   0.75  -0.31   0.27  -0.88  -0.35  -0.12   0.09   0.20  -0.31  -0.65   0.43  -0.30   1.65  -0.29   0.12   0.50   0.35  -0.24   0.78  -0.41
